Token,Type
array,KEYWORD
if,KEYWORD
then,KEYWORD
else,KEYWORD
while,KEYWORD
for,KEYWORD
to,KEYWORD
do,KEYWORD
let,KEYWORD
in,KEYWORD
end,KEYWORD
of,KEYWORD
break,KEYWORD
nil,KEYWORD
function,KEYWORD
var,KEYWORD
type,KEYWORD
import,KEYWORD
primitive,KEYWORD
int,KEYWORD
float,KEYWORD
",",SYMBOL
:,SYMBOL
;,SYMBOL
(,SYMBOL
),SYMBOL
[,SYMBOL
],SYMBOL
{,SYMBOL
},SYMBOL
.,SYMBOL
+,SYMBOL
-,SYMBOL
*,SYMBOL
/,SYMBOL
=,SYMBOL
<>,SYMBOL
<,SYMBOL
>,SYMBOL
<=,SYMBOL
>,SYMBOL
>=,SYMBOL
&,SYMBOL
|,SYMBOL
:=,SYMBOL
\n\r,ENDLINE
\r\n,ENDLINE
\r,ENDLINE
\n,ENDLINE
\a,ESCAPE
\b,ESCAPE
\f,ESCAPE
\n,ESCAPE
\r,ESCAPE
\t,ESCAPE
\v,ESCAPE
\\,ESCAPE
"\""",ESCAPE
