array,ARRAY
begin,BEGIN
boolean,BOOLEAN
break,BREAK
do,DO
else,ELSE
end,END
enddo,ENDDO
endif,ENDIF
false,FALSE
float,FLOAT
for,FOR
func,FUNC
if,IF
in,IN
int,INT
let,LET
of,OF
return,RETURN
then,THEN
to,TO
true,TRUE
type,TYPE
unit,UNIT
var,VAR
while,WHILE
",",COMMA
:,COLON
;,SEMICOLON
(,LPAREN
),RPAREN
[,LSQBR
],RSQBR
{,LCBR
},RCBR
+,PLUS
-,MINUS
*,STAR
/,FWSLASH
=,EQUAL
<>,NOTEQUAL
<,LESS
>,MORE
<=,LEQ
>=,MEQ
&,AND
|,OR
:=,ASSIGN
intlit,INTLIT
floatlit,FLOATLIT
id,IDENTIFIER
_,UNDERSCORE
eof,EOF
