Non-Terminals,array,begin,boolean,break,do,else,end,enddo,endif,false,float,for,func,if,in,int,let,of,return,then,to,true,type,unit,var,while,",",:,;,(,),[,],{,},.,+,-,*,/,=,<>,<,>,<=,>=,&,|,:=,intlit,floatlit,id,_,eof
fullstmt,E,E,E,26,E,E,E,E,E,E,E,26,E,26,E,E,E,E,26,E,E,E,E,E,E,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,26,E,E
stmts_lf,E,E,E,63,E,62,62,62,62,E,E,63,E,63,E,E,E,E,63,E,E,E,E,E,E,63,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,63,E,E
typedecl,5,E,5,E,E,E,E,E,E,E,5,E,E,E,E,5,E,E,E,E,E,E,5,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,E,E
factor,E,E,E,E,E,E,E,E,E,54,E,E,E,E,E,E,E,E,E,E,E,54,E,E,E,E,E,E,E,55,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,54,54,56,54,E
neparams,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,23,E,E
linop,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,49,50,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
pred_lf,E,E,E,E,64,E,E,E,E,E,E,E,E,E,E,E,E,E,E,64,64,E,E,E,E,E,64,E,64,E,64,E,64,E,E,E,E,E,E,E,65,65,65,65,65,65,64,64,E,E,E,E,E,E
term',E,E,E,E,67,E,E,E,E,E,E,E,E,E,E,E,E,E,E,67,67,E,E,E,E,E,67,E,67,E,67,E,67,E,E,E,67,67,66,66,67,67,67,67,67,67,67,67,E,E,E,E,E,E
neexprs,E,E,E,E,E,E,E,E,E,38,E,E,E,E,E,E,E,E,E,E,E,38,E,E,E,E,E,E,E,38,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,38,38,38,38,E
ids_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,69,68,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
aexpr,E,E,E,E,E,E,E,E,E,48,E,E,E,E,E,E,E,E,E,E,E,48,E,E,E,E,E,E,E,48,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,48,48,48,48,E
const,E,E,E,E,E,E,E,E,E,58,E,E,E,E,E,E,E,E,E,E,E,57,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,60,61,E,59,E
expr',E,E,E,E,74,E,E,E,E,E,E,E,E,E,E,E,E,E,E,74,74,E,E,E,E,E,74,E,74,E,74,E,74,E,E,E,E,E,E,E,E,E,E,E,E,E,E,73,E,E,E,E,E,E
stmts,E,E,E,25,E,E,E,E,E,E,E,25,E,25,E,E,E,E,25,E,E,E,E,E,E,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,25,E,E
lvalue,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,33,E,E
vardecl,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
param,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,24,E,E
program,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
params,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,22,E,E
clause,E,E,E,E,E,E,E,E,E,40,E,E,E,E,E,E,E,E,E,E,E,40,E,E,E,E,E,E,E,40,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,40,40,40,40,E
optinit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,17,E,E,E,E,E
type,11,E,6,E,E,E,E,E,E,E,8,E,E,E,E,7,E,E,E,E,E,E,E,9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,10,E,E
nonlinop,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,52,53,E,E,E,E,E,E,E,E,E,E,E,E,E,E
neexprs_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,76,E,E,E,75,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
factor_lf,E,E,E,E,70,E,E,E,E,E,E,E,E,E,E,E,E,E,E,70,70,E,E,E,E,E,70,E,70,72,70,71,70,E,E,E,70,70,70,70,70,70,70,70,70,70,70,70,E,E,E,E,E,E
neparams_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,78,E,E,E,77,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
stmt,E,E,E,30,E,E,E,E,E,E,E,29,E,32,E,E,E,E,31,E,E,E,E,E,E,28,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,27,E,E
clause',E,E,E,E,80,E,E,E,E,E,E,E,E,E,E,E,E,E,E,80,80,E,E,E,E,E,80,E,80,E,80,E,80,E,E,E,E,E,E,E,E,E,E,E,E,E,79,80,E,E,E,E,E,E
stmt_lf,E,E,E,E,E,82,E,E,81,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
funcdecls,E,E,E,E,E,E,E,E,E,E,E,E,19,E,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
vardecls,E,E,E,E,E,E,E,E,E,E,E,E,12,E,12,E,E,E,E,E,E,E,E,E,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
typedecls,E,E,E,E,E,E,E,E,E,E,E,E,3,E,3,E,E,E,E,E,E,E,4,E,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
term,E,E,E,E,E,E,E,E,E,51,E,E,E,E,E,E,E,E,E,E,E,51,E,E,E,E,E,E,E,51,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,51,51,51,51,E
declseg,2,E,2,E,E,E,E,E,E,E,2,E,2,E,2,2,E,E,E,E,E,E,2,2,2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2,E,E
aexpr',E,E,E,E,84,E,E,E,E,E,E,E,E,E,E,E,E,E,E,84,84,E,E,E,E,E,84,E,84,E,84,E,84,E,E,E,83,83,E,E,84,84,84,84,84,84,84,84,E,E,E,E,E,E
optoffset,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,35,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,34,E,E,E,E,E
ids,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,E,E
expr,E,E,E,E,E,E,E,E,E,39,E,E,E,E,E,E,E,E,E,E,E,39,E,E,E,E,E,E,E,39,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,39,39,39,39,E
exprs,E,E,E,E,E,E,E,E,E,37,E,E,E,E,E,E,E,E,E,E,E,37,E,E,E,E,E,E,E,37,36,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,37,37,37,37,E
pred,E,E,E,E,E,E,E,E,E,41,E,E,E,E,E,E,E,E,E,E,E,41,E,E,E,E,E,E,E,41,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,41,41,41,41,E
funcdecl,E,E,E,E,E,E,E,E,E,E,E,E,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
cmp,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,42,43,46,47,44,45,E,E,E,E,E,E,E,E
